4;0.8
6;0.87
8;0.87
10;0.85
12;0.81
14;0.85
16;0.92
18;0.99
20;1.03
22;1.06
24;1.09
26;1.11
30;1.15
50;1.22
70;1.43
90;1.6
110;1.78
130;1.89
150;2.02
200;2.11
250;2.2
300;2.21
350;2.21
400;2.18
450;2.13
500;2.08
550;2.03
600;1.99
650;1.95
700;1.9
750;1.87
800;1.84
850;1.81
900;1.78
950;1.75
1000;1.73
1100;1.71
1200;1.69
1300;1.66
1400;1.64
1600;1.61
1800;1.57
2000;1.53
3000;1.42
4000;1.3
5000;1.18
6000;1.07
7000;0.97
8000;0.86
10000;0.69
