0.0;0.0
0.73;0.11
1.2;0.1
1.8;0.09
2.67;0.08
3.7;0.07
4.7;0.09
5.7;0.12
6.2;0.15
7.1;0.18
8.0;0.23
9.0;0.3
10.0;0.4
11.0;0.5
20.0;1.02
50.0;1.2
100.0;1.3
150.0;1.5
200.0;1.9
250.0;2.02
300.0;2.01
350.0;1.95
400.0;1.89
450.0;1.83
500.0;1.78
600.0;1.7
700.0;1.65
800.0;1.6
900.0;1.55
1000.0;1.5
1100.0;1.45
1200.0;1.4
1400.0;1.3
1500.0;1.25
1600.0;1.21
1800.0;1.14
1982.0;1.08
2000.0;1.07
2500.0;0.9
3000.0;0.75
4000.0;0.55
5000.0;0.47
6000.0;0.4
7000.0;0.35
8000.0;0.31
9000.0;0.29
10000.0;0.29
15000.0;0.27
20000.0;0.24
