dataset4
E(keV)          SE yield
0.5             1.009
1.0             0.8922
1.5             0.7255
2.0             0.5882
3.0             0.4216
4.0             0.3255
5.0             0.2745
6.0             0.245
7.0             0.2157
8.0             0.1961
9.0             0.1804
10.0            0.1666
